filename,true_label,pred_label,correct,confidence,peak_intensity,spread,focus_score
malignant (106).png,2,2,True,0.870399534702301,1.0,0.21067348,4.7466817
normal (94).png,0,2,False,0.6663360595703125,1.0,0.18346487,5.4506345
malignant (161).png,2,2,True,0.971036434173584,1.0,0.18541685,5.393253
malignant (21).png,2,2,True,0.6820189356803894,1.0,0.20046936,4.988293
malignant (184).png,2,2,True,0.9977318644523621,1.0,0.22206892,4.503106
benign (73).png,1,1,True,0.9565511345863342,1.0,0.2125317,4.70518
benign (392).png,1,2,False,0.9889333248138428,1.0,0.22034262,4.5383863
malignant (141).png,2,2,True,0.8806596994400024,1.0,0.18576525,5.3831377
benign (29).png,1,1,True,0.914275050163269,1.0,0.23104751,4.328114
malignant (67).png,2,2,True,0.9976771473884583,1.0,0.25213724,3.966094
malignant (168).png,2,2,True,0.9881993532180786,1.0,0.22789627,4.387961
malignant (109).png,2,1,False,0.6355007290840149,1.0,0.18910673,5.2880187
benign (161).png,1,1,True,0.9889931082725525,1.0,0.20567022,4.862152
normal (82).png,0,0,True,0.4042711853981018,0.99999994,0.20869197,4.7917504
benign (412).png,1,2,False,0.8124372363090515,1.0,0.2086419,4.7929006
normal (108).png,0,0,True,0.6968529224395752,1.0,0.18868935,5.2997155
malignant (147).png,2,0,False,0.5620452761650085,1.0,0.14545803,6.8748345
normal (98).png,0,0,True,0.9736977815628052,1.0,0.21820761,4.5827913
malignant (138).png,2,2,True,0.9201639890670776,1.0,0.22534017,4.4377346
normal (65).png,0,0,True,0.9299823045730591,1.0,0.19694649,5.077521
benign (49).png,1,1,True,0.9876468181610107,1.0,0.26760074,3.7369103
malignant (128).png,2,2,True,0.9999082088470459,1.0,0.2208008,4.528969
benign (34).png,1,1,True,0.9789861440658569,1.0,0.17713527,5.6454024
benign (416).png,1,0,False,0.5983074307441711,0.99999994,0.20596221,4.855259
benign (3).png,1,1,True,0.987345278263092,1.0,0.21807772,4.5855207
benign (368).png,1,1,True,0.971898078918457,1.0,0.20658232,4.840685
benign (117).png,1,1,True,0.9835001230239868,1.0,0.20915811,4.7810717
benign (124).png,1,1,True,0.9587406516075134,1.0,0.2259247,4.4262533
malignant (70).png,2,2,True,0.9917768239974976,1.0,0.1844602,5.4212236
normal (27).png,0,0,True,0.9857327938079834,1.0,0.28578886,3.4990866
benign (249).png,1,1,True,0.9302065372467041,1.0,0.25767344,3.880881
malignant (53).png,2,1,False,0.5032344460487366,0.99999994,0.22788322,4.388212
benign (154).png,1,1,True,0.9854796528816223,1.0,0.20155613,4.9613967
normal (39).png,0,0,True,0.9992567896842957,1.0,0.24649186,4.0569286
benign (347).png,1,1,True,0.9476814270019531,1.0,0.2358243,4.2404447
benign (348).png,1,1,True,0.9908269047737122,1.0,0.20104122,4.974104
malignant (60).png,2,2,True,0.9615139365196228,1.0,0.2062561,4.848341
normal (61).png,0,0,True,0.9981447458267212,1.0,0.24651201,4.056597
malignant (113).png,2,2,True,0.8696041107177734,1.0,0.22448328,4.4546742
normal (84).png,0,0,True,0.9659546613693237,1.0,0.20272668,4.9327497
malignant (41).png,2,2,True,0.9997338652610779,1.0,0.23631434,4.2316513
normal (125).png,0,0,True,0.9984136819839478,1.0,0.25023875,3.9961836
malignant (136).png,2,0,False,0.44286271929740906,0.99999994,0.19281875,5.186217
benign (436).png,1,1,True,0.6544957756996155,0.99999994,0.22417144,4.4608707
benign (83).png,1,1,True,0.9963709115982056,1.0,0.22608744,4.423067
malignant (117).png,2,2,True,0.9993436932563782,1.0,0.20038952,4.9902806
malignant (209).png,2,2,True,0.9451037645339966,1.0,0.23514183,4.2527523
benign (98).png,1,1,True,0.9921815395355225,1.0,0.20470767,4.8850145
benign (51).png,1,1,True,0.9951279163360596,1.0,0.24054217,4.1572747
benign (110).png,1,1,True,0.9735537171363831,1.0,0.2069595,4.831863
malignant (143).png,2,2,True,0.54341059923172,1.0,0.18982582,5.267987
benign (377).png,1,1,True,0.8904443383216858,1.0,0.19764675,5.059531
benign (286).png,1,2,False,0.789406955242157,1.0,0.18477827,5.4118915
benign (148).png,1,1,True,0.9773714542388916,1.0,0.18327421,5.4563046
benign (131).png,1,2,False,0.9993394017219543,1.0,0.24022977,4.162681
normal (41).png,0,0,True,0.9930925369262695,1.0,0.19362515,5.164618
benign (424).png,1,1,True,0.9840503334999084,1.0,0.21636583,4.6218014
benign (328).png,1,1,True,0.9907389879226685,1.0,0.1863234,5.367012
benign (113).png,1,1,True,0.9900111556053162,1.0,0.21942422,4.5573816
benign (126).png,1,1,True,0.9926082491874695,1.0,0.22095478,4.5258126
benign (329).png,1,1,True,0.9675906896591187,1.0,0.22064778,4.5321097
benign (239).png,1,1,True,0.7077106237411499,1.0,0.23002163,4.347417
benign (342).png,1,2,False,0.6491209268569946,1.0,0.16485599,6.0659
normal (60).png,0,0,True,0.9955694079399109,1.0,0.23342024,4.284118
normal (52).png,0,0,True,0.9988310933113098,1.0,0.25520578,3.9184065
benign (107).png,1,1,True,0.9815555214881897,1.0,0.2207535,4.529939
malignant (119).png,2,2,True,0.9999841451644897,1.0,0.21303825,4.6939926
malignant (3).png,2,2,True,0.998027503490448,1.0,0.22015683,4.5422163
benign (426).png,1,1,True,0.7224074602127075,1.0,0.20355298,4.9127254
benign (302).png,1,1,True,0.6676542162895203,1.0,0.22365929,4.471086
benign (7).png,1,1,True,0.9738708734512329,1.0,0.21603733,4.6288295
benign (257).png,1,1,True,0.5285825133323669,1.0,0.2070084,4.8307214
benign (351).png,1,2,False,0.9330170750617981,1.0,0.21408625,4.6710143
benign (283).png,1,0,False,0.5419390797615051,0.99999994,0.22289017,4.486514
benign (153).png,1,1,True,0.9585005640983582,1.0,0.18632355,5.3670077
normal (19).png,0,0,True,0.9999121427536011,1.0,0.23291247,4.293458
normal (126).png,0,0,True,0.8080284595489502,1.0,0.20019984,4.9950085
benign (422).png,1,1,True,0.9828774929046631,1.0,0.2670276,3.7449315
benign (260).png,1,1,True,0.9726254940032959,1.0,0.24266897,4.1208396
benign (421).png,1,1,True,0.8599942922592163,1.0,0.2575549,3.8826675
benign (120).png,1,1,True,0.798611044883728,1.0,0.17675106,5.6576743
benign (36).png,1,1,True,0.9835383892059326,1.0,0.18820232,5.3134303
malignant (54).png,2,2,True,0.9944183826446533,1.0,0.18750584,5.3331666
normal (75).png,0,0,True,0.9977268576622009,1.0,0.26781484,3.733923
normal (133).png,0,0,True,0.5687633156776428,0.99999994,0.15849307,6.309423
malignant (190).png,2,2,True,0.9993484616279602,1.0,0.19422217,5.1487427
benign (22).png,1,1,True,0.9299874901771545,1.0,0.19805188,5.0491815
benign (149).png,1,1,True,0.9924367070198059,1.0,0.2253492,4.437557
benign (253).png,1,1,True,0.8507300019264221,1.0,0.19730772,5.068225
benign (31).png,1,1,True,0.9729474782943726,1.0,0.26044935,3.839518
malignant (76).png,2,2,True,0.982060432434082,1.0,0.21903211,4.5655403
benign (390).png,1,1,True,0.9646252393722534,1.0,0.2258063,4.428574
malignant (169).png,2,2,True,0.9996059536933899,1.0,0.22217911,4.5008726
benign (306).png,1,1,True,0.8389673233032227,1.0,0.21936554,4.558601
malignant (159).png,2,2,True,0.889011800289154,1.0,0.21405198,4.671762
benign (394).png,1,0,False,0.6148966550827026,1.0,0.20156974,4.961062
malignant (40).png,2,2,True,0.9998292922973633,1.0,0.27603966,3.6226678
benign (97).png,1,1,True,0.9070966839790344,1.0,0.21996038,4.546273
malignant (83).png,2,1,False,0.8459601998329163,1.0,0.21198711,4.7172675
benign (386).png,1,1,True,0.8018537759780884,1.0,0.2158561,4.6327157
normal (1).png,0,0,True,0.6976969838142395,0.99999994,0.24076074,4.1535006
normal (76).png,0,0,True,0.41191747784614563,0.9999999,0.22138734,4.516969
benign (75).png,1,1,True,0.9961380362510681,1.0,0.22145854,4.5155177
benign (381).png,1,1,True,0.6572449803352356,1.0,0.21596944,4.6302843
normal (36).png,0,0,True,0.9788378477096558,1.0,0.2230055,4.484194
benign (158).png,1,1,True,0.9591612219810486,1.0,0.19583352,5.1063776
benign (299).png,1,2,False,0.6937623620033264,0.9999999,0.2514131,3.977517
malignant (32).png,2,2,True,0.9989100694656372,1.0,0.24824262,4.028317
benign (358).png,1,1,True,0.9907581806182861,1.0,0.24460112,4.0882883
malignant (72).png,2,2,True,0.9961647987365723,1.0,0.23830487,4.1963053
benign (313).png,1,1,True,0.6946848630905151,1.0,0.25104043,3.983422
benign (354).png,1,2,False,0.9023012518882751,1.0,0.20336124,4.9173574
benign (399).png,1,2,False,0.9642156958580017,1.0,0.24394526,4.0992804
benign (23).png,1,1,True,0.9865840077400208,1.0,0.2598204,3.8488126
benign (92).png,1,1,True,0.989036500453949,1.0,0.2547256,3.925793
benign (213).png,1,1,True,0.7603551745414734,1.0,0.19567166,5.1106014
benign (1).png,1,1,True,0.9907224178314209,1.0,0.22799061,4.386145
